Id,Budget Year Type,Budget Year,Page Number from PDF Document,Sheet No printed on the bottom of PDF page,Account Type,CAPS,Deferred Charges Ind,Department,Division,Program,Program Details,Line Item Id from PDF,Line Item,Line Item Details,Line Item (original),FCOA,Appropriated – CY 2013,Appropriated – CY 2012,Appropriated – CY 2012 By Emerg. Approp.,Appropriated – Total CY 2012 Modified By Trans.,Expended CY 2013 – Paid or Charged,Expended CY 2012 – Reserved
184,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Subregional Studies Program – Morris Canal,,Subregional Studies Program – Morris Canal,,,,,0,,0
185,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Central Avenue SID,,Central Avenue SID,41-138,,50000,,"50,000",50000,0
186,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Senior Farmer's Market,,Senior Farmer's Market,41-215,1750,,,0,,
187,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Historic Downtown SID,,Historic Downtown SID,41-047,,50000,,"50,000",50000,0
188,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,McGinley Square SID,,McGinley Square SID,41-071,,50000,,"50,000",50000,0
189,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,FEMA/AFG – Fire Hose & Equip,,FEMA/AFG – Fire Hose & Equip,41-321,,179280,,"179,280",179280,0
190,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,FEMA/AFG – Personal Protection Equip,,FEMA/AFG – Personal Protection Equip,41-332,,1161360,,"1,161,360",1161360,0
191,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Journal Square SID,,Journal Square SID,41-142,,50000,,"50,000",50000,0
192,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Clean Communities,,Clean Communities,,349581,,,0,,0
193,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,JTPA,,JTPA,,7351489,,,0,,0
194,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,UEZ – Main Street,,UEZ – Main Street,41-129,,,,0,0,0
195,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,TDR Planning Assistance,,TDR Planning Assistance,41-360,40000,,,0,,0
196,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Edward Byrne Grant (JAG),,Edward Byrne Grant (JAG),41-340,203864,138000,,"213,440",213440,0
197,CY,2013,54,24B,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,HCOS – Reservoir #3,,HCOS – Reservoir #3,,,,,0,,0
198,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,HCOS – Friends of Loews,,HCOS – Friends of Loews,41-294,535841,,,0,,0
199,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,NJ DOT MAP Various Sts,,NJ DOT MAP Various Sts,41-312,,,,0,0,0
200,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,ASPCA,,ASPCA,41-326,10000,10000,,"10,000",10000,0
201,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Body Armor Replacement – Arson,,Body Armor Replacement – Arson,41-223,,,,0,0,0
202,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,PANYNJ Port Security,,PANYNJ Port Security,41-295,,956403,,"956,403",956403,0
203,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Senior Info and Assistant/Pandemic Flu Prep,,Senior Info and Assistant/Pandemic Flu Prep,41-203,65000,65000,,"65,000",65000,0
204,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,FY2013 Municipal Aid Program,,FY2013 Municipal Aid Program,41-263,1077190,1198561,,"1,198,561",1198561,0
205,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,ATP – Two Traffic Signals,,ATP – Two Traffic Signals,41-021,500000,,,0,,0
206,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,ATP – Dead End Streets II,,ATP – Dead End Streets II,41-243,220000,,,0,,0
207,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,ATP – Traffic Striping & Markings,,ATP – Traffic Striping & Markings,41-263,200000,,,0,,0
208,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,ATP – Destination Jersey City Ph 3,,ATP – Destination Jersey City Ph 3,41-004,100000,,,0,,0
209,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Small Business Development Center,,Small Business Development Center,41-233,,,,0,,0
210,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,UEZ CCTV Phase II,,UEZ CCTV Phase II,41-146,,457629,,"457,629",457629,0
211,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,DOT – 3 Traffic Signals,,DOT – 3 Traffic Signals,41-297,,,,0,,0
212,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,OJJDP Underage Drinking Enforcement,,OJJDP Underage Drinking Enforcement,41-198,,,,0,0,0
213,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Urban Areas Security Initiative – Fire,,Urban Areas Security Initiative – Fire,41-172,,1881500,,"3,573,000",3573000,0
214,CY,2013,55,24C,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Drunk Driving Enforcement Fund,,Drunk Driving Enforcement Fund,41-086,9715,,,0,,0
215,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,CSBG – Special Initiative,,CSBG – Special Initiative,41-291,,,,0,,0
216,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Subregional Transportation Planning,,Subregional Transportation Planning,41-123,,71976,,"143,952",143952,0
217,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Peer Grouping Grant,,Peer Grouping Grant,41-261,40000,40000,,"40,000",40000,0
218,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,JCEDC – Corp Marketing,,JCEDC – Corp Marketing,41-317,,,,0,,0
219,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Safe & Secure Communities,,Safe & Secure Communities,41-341,,,,"37,531",37531,0
220,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,NJ DOT Newark Ave Ph 4,,NJ DOT Newark Ave Ph 4,41-313,,700000,,"700,000",700000,0
221,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,NJ DOT Summit Ave 3 Int,,NJ DOT Summit Ave 3 Int,41-314,,,,0,0,0
222,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Ed Byrne JAG,,Ed Byrne JAG,41-342,,,,"272,974",272974,0
223,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Senior Farmers Market,,Senior Farmers Market,41-343,,,,"1,000",1000,0
224,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,PANYNJ Port Security,,PANYNJ Port Security,41-344,,,,"297,000",297000,0
225,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,HCOS – Caven Point Traffic,,HCOS – Caven Point Traffic,41-346,,,,"400,000",400000,0
226,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Highway Traffic Study,,Highway Traffic Study,41-347,,,,"27,900",27900,0
227,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Matching Funds For Grants,,Matching Funds For Grants,41-899,50000,50000,,"50,000",14395,35605
228,CY,2013,56,25,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,OPERATIONS,PUBLIC & PRIVATE PROGRAMS OFFSET BY REVENUES (NJS 40A:4-43.3h),,Break Adjustment,,Break Adjustment,,0,2037314,,"4,015,409",4015409,0
229,CY,2013,57,26,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,CAPITAL IMPROVEMENTS,DOWN PAYMENTS on IMPROVEMENTS,,CAPITAL IMPROVEMENT FUND,,CAPITAL IMPROVEMENT FUND,44-920,400000,1340900,,"1,340,900",1340900,0
230,CY,2013,57,26,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,CAPITAL IMPROVEMENTS,DOWN PAYMENTS on IMPROVEMENTS,,"Acquisition, Remediation of Public Property",,"Acquisition, Remediation of Public Property",44-901,200000,0,,0,0,0
231,CY,2013,57,26,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,CAPITAL IMPROVEMENTS,Public & Private programs Offered by Revenues,,Public & Private programs Offered by Revenues,,Public & Private programs Offered by Revenues,,,,,0,,
232,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,900,MATURING SERIAL BONDS – GEN. QUAL.,,900 MATURING SERIAL BONDS – GEN. QUAL.,45-900,6191000,4823000,,"4,823,000",4823000,0
233,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,902,MATURING SERIAL BONDS – GEN. REFUNDING,,902 MATURING SERIAL BONDS – GEN. REFUNDING,45-901,17645000,12968000,,"12,968,000",12968000,0
234,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,964,FIRE PENSION REF. BONDS – INTEREST,,964 FIRE PENSION REF. BONDS – INTEREST,45-918,947013,948989,,"948,989",948989,0
235,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,965,POLICE PENSION REF. BONDS – INTEREST,,965 POLICE PENSION REF. BONDS – INTEREST,45-919,1369515,1400835,,"1,400,835",1400835,0
236,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,906,INTEREST ON BONDS – GENERAL QUAL.,,906 INTEREST ON BONDS – GENERAL QUAL.,45-902,4983592,5203889,,"5,203,889",5203889,0
237,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,907,INTEREST ON BONDS – GEN.REFUNDING,,907 INTEREST ON BONDS – GEN.REFUNDING,45-903,11210957,11449740,,"11,449,740",11449740,0
238,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,908,INTEREST ON NOTES – GEN.& REFUNDING,,908 INTEREST ON NOTES – GEN.& REFUNDING,45-904,884515,1830456,,"1,830,456",1830456,0
239,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,GREEN TRUST – MONTGOMERY GATEWAY,,GREEN TRUST – MONTGOMERY GATEWAY,45-925,3110,3110,,"3,110",3110,0
240,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,936,BOND ANTICIPATION NOTES – PRINCIPAL,,936 BOND ANTICIPATION NOTES – PRINCIPAL,45-906,4659195,6166121,,"6,166,121",6166121,0
241,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,GREEN TRUST MULTI PARKS,,GREEN TRUST MULTI PARKS,45-924,38243,38243,,"38,243",38243,0
242,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,963,DEMOLITION BOND LOAN,,963 DEMOLITION BOND LOAN,45-917,,,,0,,
243,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,WAYNE STREET PARK,,WAYNE STREET PARK,45-916,9021,9021,,"9,021",9021,0
244,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,APPLE TREE HOUSE,,APPLE TREE HOUSE,45-920,14669,14669,,"14,669",14669,0
245,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,ROBERT CLEMENTE PARK,,ROBERT CLEMENTE PARK,45-921,17661,17661,,"17,661",17661,0
246,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,SGT. ANTHONY PARK,,SGT. ANTHONY PARK,45-922,9017,9017,,"9,017",9017,0
247,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,MARION PAVONIA POOL,,MARION PAVONIA POOL,45-923,26428,26428,,"26,428",26428,0
248,CY,2013,58,27,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,HCIA POOLED LOAN,,HCIA POOLED LOAN,45-927,401600,399200,,"399,200",399200,0
249,CY,2013,59,27A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,GREEN TRUST – BERRY LANE,,GREEN TRUST – BERRY LANE,45-926,8084,8084,,"8,084",8084,0
250,CY,2013,59,27A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,MATURING SERIAL BONDS – GEN (BAB) PRIN,,MATURING SERIAL BONDS – GEN (BAB) PRIN,45-928,480000,280000,,"280,000",280000,0
251,CY,2013,59,27A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,MATURING SERIAL BONDS – GEN (BAB) INT,,MATURING SERIAL BONDS – GEN (BAB) INT,45-929,4391723,3873675,,"3,873,675",3873675,0
252,CY,2013,59,27A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,,POLICE/FIRE PEN REFUND BONDS-PRINCIPAL,,POLICE/FIRE PEN REFUND BONDS-PRINCIPAL,,780000,610000,,"610,000",610000,0
253,CY,2013,59,27A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,951,MATURING SERIAL BONDS – GEN. QUAL.,,951 MATURING SERIAL BONDS – GEN. QUAL.,45-909,315000,305000,,"305,000",305000,0
254,CY,2013,59,27A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,952,MATURING SERIAL BONS – REFUNDING,,952 MATURING SERIAL BONS – REFUNDING,45-910,3555000,3492000,,"3,492,000",3492000,0
255,CY,2013,59,27A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,956,INTEREST ON NOTES,,956 INTEREST ON NOTES,45-395-2,,,,0,,
256,CY,2013,59,27A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,957,INTEREST ON BONDS – REFUNDING,,957 INTEREST ON BONDS – REFUNDING,45-913,1243227,1460090,,"1,460,090",1460090,0
257,CY,2013,59,27A,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,MUNICIPAL DEBT SERVICE,MUNICIPAL DEBT SERVICE,959,INTEREST ON BONDS – QUALIFIED,,959 INTEREST ON BONDS – QUALIFIED,45-914,141769,263850,,"263,850",263850,0
258,CY,2013,60,28,Appropriation,Excluded “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,EMERGENCY AUTHORIZATIONS,DEFERRED CHARGES – MUNICIPAL,DEFERRED CHARGES – MUNICIPAL,,Emergency authorization,,Emergency authorization:,46-870-2,4390000,4390000,0,"4,390,000",4390000,
259,CY,2013,60,28,Appropriation,Excluded “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,DEFERRED CHARGES – MUNICIPAL,DEFERRED CHARGES – MUNICIPAL,,Reserve for Tax Appeals,,Reserve for Tax Appeals,46-886-2,400000,400000,,"400,000",300000,
260,CY,2013,60,28,Appropriation,Excluded “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,DEFERRED CHARGES – MUNICIPAL,DEFERRED CHARGES – MUNICIPAL,,Hurricane Sandy Expenditure (FEMA),,Hurricane Sandy Expenditure (FEMA),46-871-2,1193000,0,,0,0,
261,CY,2013,60,28,Appropriation,Excluded “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,DEFERRED CHARGES – MUNICIPAL,DEFERRED CHARGES – MUNICIPAL,,Tax Overpayments,,Tax Overpayments,46-885-02,1385000,1385000,0,"1,385,000",1385000,
262,CY,2013,60,28,Appropriation,Excluded “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,DEFERRED CHARGES – MUNICIPAL,DEFERRED CHARGES – MUNICIPAL,5,5 YEAR EMERGENCY AUTH. - Master Plan,,5 YEAR EMERGENCY AUTH. - Master Plan,46-875-2,,,,0,0,
263,CY,2013,60,28,Appropriation,Excluded “CAPS”,Deferred Charges - YES,NON-DEPARTAMENTAL,NON-DIVISIONAL,DEFERRED CHARGES – MUNICIPAL,DEFERRED CHARGES – MUNICIPAL,3,3 YEAR EMERGENCY AUTH.,,3 YEAR EMERGENCY AUTH.,46-873-2,,,,0,,
264,CY,2013,60,28,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,JUDGEMENTS,JUDGEMENTS,,Judgements,,(F) Judgements,37480-2,0,0,,0,0,0
265,CY,2013,60,28,Appropriation,Excluded “CAPS”,Deferred Charges - NO,NON-DEPARTAMENTAL,NON-DIVISIONAL,TRANSFERRED,TRANSFERRED,,TRANSFERRED – BOARD of EDUCATION FOR USE of LOCAL SCHOOLS (NJSA 40:48-17.1 & 17.3),,(N.) TRANSFERRED – BOARD of EDUCATION FOR USE of LOCAL SCHOOLS (NJSA 40:48-17.1 & 17.3),29-405-2,,,,0,,
